Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
31,31,1,1425
35,20,16,1441
22,10,23,1464
26,16,12,1476
38,27,15,1491
43,23,18,1509
56,27,14,1523
64,35,27,1550
69,38,33,1583
78,36,27,1610
74,34,38,1648
71,34,37,1685
72,34,33,1718
66,29,35,1753
71,34,29,1782
88,50,33,1815
90,50,48,1863
94,43,39,1902
96,38,36,1938
101,55,50,1988
119,61,43,2031
130,66,55,2086
146,80,64,2150
175,108,79,2229
199,115,91,2320
243,156,112,2432
311,179,111,2543
302,166,175,2718
331,164,135,2853
325,153,159,3012
352,182,155,3167
342,156,166,3333
338,150,154,3487
319,158,177,3664
300,153,172,3836
294,140,146,3982
288,145,151,4133
261,134,161,4294
265,127,123,4417
240,130,155,4572
229,107,118,4690
204,92,117,4807
182,79,101,4908
153,73,102,5010
123,49,79,5089
106,52,69,5158
92,41,55,5213
80,33,45,5258
76,37,41,5299
64,17,29,5328
66,32,30,5358
66,31,31,5389
65,31,32,5421
54,30,41,5462
47,20,27,5489
33,13,27,5516
23,7,17,5533
16,5,12,5545
12,3,7,5552
10,3,5,5557
8,3,5,5562
6,2,4,5566
4,2,4,5570
5,2,1,5571
6,3,2,5573
8,6,4,5577
6,2,4,5581
4,2,4,5585
5,3,2,5587
4,2,3,5590
7,4,1,5591
8,3,2,5593
8,3,3,5596
8,1,1,5597
5,3,6,5603
2,0,3,5606
1,0,1,5607
1,0,0,5607
1,0,0,5607
0,0,1,5608
