Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
107,107,1,1425
169,123,61,1486
289,207,87,1573
390,239,138,1711
566,374,198,1909
794,502,274,2183
1050,679,423,2606
1336,817,531,3137
1477,826,685,3822
1626,870,721,4543
1591,766,801,5344
1470,652,773,6117
1245,523,748,6865
961,352,636,7501
776,279,464,7965
595,212,393,8358
423,124,296,8654
296,96,223,8877
223,78,151,9028
162,42,103,9131
94,26,94,9225
74,28,48,9273
63,26,37,9310
51,17,29,9339
39,12,24,9363
28,5,16,9379
20,3,11,9390
13,4,11,9401
8,3,8,9409
5,1,4,9413
9,6,2,9415
7,0,2,9417
7,1,1,9418
2,0,5,9423
1,0,1,9424
0,0,1,9425
