Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
44,44,1,1425
56,36,24,1449
70,44,30,1479
85,57,42,1521
145,103,43,1564
214,144,75,1639
321,206,99,1738
425,274,170,1908
622,390,193,2101
838,529,313,2414
1078,659,419,2833
1252,721,547,3380
1439,788,601,3981
1573,872,738,4719
1537,773,809,5528
1415,673,795,6323
1190,495,720,7043
963,349,576,7619
750,271,484,8103
580,204,374,8477
395,130,315,8792
293,102,204,8996
220,68,141,9137
155,42,107,9244
110,34,79,9323
76,27,61,9384
53,13,36,9420
39,10,24,9444
25,4,18,9462
19,6,12,9474
10,3,12,9486
9,3,4,9490
9,4,4,9494
6,2,5,9499
5,1,2,9501
2,0,3,9504
0,0,2,9506
