Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
4,4,1,1425
8,4,0,1425
8,6,6,1431
18,14,4,1435
43,32,7,1442
79,60,24,1466
123,87,43,1509
190,132,65,1574
311,201,80,1654
467,302,146,1800
652,430,245,2045
867,543,328,2373
1151,720,436,2809
1379,784,556,3365
1497,819,701,4066
1584,832,745,4811
1459,698,823,5634
1310,583,732,6366
1153,466,623,6989
943,378,588,7577
727,254,470,8047
557,174,344,8391
370,102,289,8680
270,74,174,8854
191,61,140,8994
127,33,97,9091
86,23,64,9155
72,22,36,9191
60,21,33,9224
35,6,31,9255
24,5,16,9271
12,4,16,9287
8,2,6,9293
6,2,4,9297
3,1,4,9301
1,0,2,9303
1,0,0,9303
0,0,1,9304
