Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
28,28,1,1425
42,31,17,1442
68,48,22,1464
112,83,39,1503
216,162,58,1561
315,216,117,1678
460,294,149,1827
607,377,230,2057
888,601,320,2377
1171,728,445,2822
1434,852,589,3411
1612,885,707,4118
1695,876,793,4911
1572,725,848,5759
1368,556,760,6519
1090,407,685,7204
865,297,522,7726
644,212,433,8159
460,130,314,8473
312,98,246,8719
206,62,168,8887
143,42,105,8992
96,32,79,9071
58,13,51,9122
41,14,31,9153
24,12,29,9182
22,10,12,9194
17,5,10,9204
12,4,9,9213
8,4,8,9221
4,0,4,9225
3,1,2,9227
1,0,2,9229
1,0,0,9229
0,0,1,9230
