Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
65,64,0,1424
150,120,35,1459
235,166,81,1540
404,285,116,1656
605,394,193,1849
854,551,302,2151
1149,716,421,2572
1421,845,573,3145
1608,891,704,3849
1687,880,801,4650
1647,766,806,5456
1480,654,821,6277
1263,533,750,7027
1080,417,600,7627
831,304,553,8180
686,244,389,8569
495,141,332,8901
322,92,265,9166
191,51,182,9348
123,23,91,9439
79,17,61,9500
52,7,34,9534
24,5,33,9567
13,5,16,9583
11,4,6,9589
9,5,7,9596
3,2,8,9604
1,0,2,9606
0,0,1,9607
