Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
35,35,1,1425
97,77,15,1440
143,92,46,1486
187,115,71,1557
315,213,85,1642
495,338,158,1800
706,469,258,2058
996,648,358,2416
1319,809,486,2902
1550,878,647,3549
1620,857,787,4336
1728,897,789,5125
1608,749,869,5994
1387,594,815,6809
1168,466,685,7494
917,345,596,8090
673,230,474,8564
484,137,326,8890
333,103,254,9144
253,70,150,9294
172,46,127,9421
114,29,87,9508
77,23,60,9568
44,9,42,9610
30,3,17,9627
14,0,16,9643
6,0,8,9651
3,0,3,9654
1,0,2,9656
0,0,1,9657
