Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
34,34,1,1425
76,49,7,1432
175,137,38,1470
327,243,91,1561
666,498,159,1720
1374,1044,336,2056
2288,1629,715,2771
2962,1862,1188,3959
3129,1617,1450,5409
2857,1272,1544,6953
2140,756,1473,8426
1512,421,1049,9475
989,250,773,10248
631,134,492,10740
391,63,303,11043
224,35,202,11245
135,18,107,11352
75,13,73,11425
47,6,34,11459
24,2,25,11484
17,1,8,11492
8,0,9,11501
5,1,4,11505
3,0,2,11507
2,0,1,11508
2,0,0,11508
0,0,2,11510
