Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
105,105,1,1425
121,75,59,1484
119,64,66,1550
133,67,53,1603
131,65,67,1670
141,66,56,1726
133,65,73,1799
119,51,65,1864
103,48,64,1928
95,44,52,1980
96,41,40,2020
88,36,44,2064
79,32,41,2105
60,19,38,2143
50,17,27,2170
43,20,27,2197
38,19,24,2221
29,11,20,2241
30,16,15,2256
30,15,15,2271
22,7,15,2286
20,7,9,2295
23,11,8,2303
21,7,9,2312
24,13,10,2322
16,8,16,2338
18,4,2,2340
15,6,9,2349
11,5,9,2358
11,5,5,2363
13,4,2,2365
16,6,3,2368
12,7,11,2379
11,6,7,2386
10,4,5,2391
10,5,5,2396
5,3,8,2404
6,3,2,2406
6,3,3,2409
2,1,5,2414
3,1,0,2414
3,1,1,2415
1,0,2,2417
0,0,1,2418
