Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
114,114,1,1425
167,111,58,1483
259,175,83,1566
393,261,127,1693
609,402,186,1879
847,566,328,2207
1117,719,449,2656
1361,818,574,3230
1633,932,660,3890
1750,938,821,4711
1666,804,888,5599
1458,640,848,6447
1234,515,739,7186
1010,387,611,7797
752,266,524,8321
531,167,388,8709
386,112,257,8966
272,79,193,9159
193,44,123,9282
131,30,92,9374
81,15,65,9439
46,13,48,9487
28,11,29,9516
21,7,14,9530
20,7,8,9538
9,1,12,9550
6,0,3,9553
3,0,3,9556
3,0,0,9556
2,0,1,9557
1,0,1,9558
1,0,0,9558
0,0,1,9559
