Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
35,35,1,1425
49,33,19,1444
100,79,28,1472
163,114,51,1523
259,180,84,1607
380,250,129,1736
583,387,184,1920
834,558,307,2227
1135,694,393,2620
1335,773,573,3193
1556,869,648,3841
1613,881,824,4665
1610,805,808,5473
1503,704,811,6284
1299,566,770,7054
1036,395,658,7712
820,291,507,8219
607,195,408,8627
451,131,287,8914
335,109,225,9139
231,62,166,9305
152,30,109,9414
104,28,76,9490
77,20,47,9537
50,16,43,9580
35,8,23,9603
25,8,18,9621
19,3,9,9630
11,2,10,9640
9,2,4,9644
4,0,5,9649
1,0,3,9652
0,0,1,9653
