Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
32,31,0,1424
69,55,18,1442
133,101,37,1479
214,151,70,1549
351,234,97,1646
584,391,158,1804
926,614,272,2076
1240,801,487,2563
1583,964,621,3184
1750,965,798,3982
1752,897,895,4877
1714,828,866,5743
1441,618,891,6634
1185,463,719,7353
915,315,585,7938
680,228,463,8401
488,148,340,8741
370,117,235,8976
263,73,180,9156
178,48,133,9289
129,42,91,9380
83,29,75,9455
60,18,41,9496
48,19,31,9527
36,10,22,9549
24,10,22,9571
18,3,9,9580
13,4,9,9589
8,3,8,9597
7,1,2,9599
9,4,2,9601
5,2,6,9607
7,3,1,9608
10,4,1,9609
13,5,2,9611
9,3,7,9618
5,1,5,9623
4,1,2,9625
1,0,3,9628
0,0,1,9629
