Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
61,60,0,1424
143,120,38,1462
246,177,74,1536
414,288,120,1656
618,416,212,1868
867,575,326,2194
1151,711,427,2621
1421,847,577,3198
1591,896,726,3924
1686,885,790,4714
1591,737,832,5546
1377,580,794,6340
1193,482,666,7006
1015,389,567,7573
797,293,511,8084
599,198,396,8480
447,132,284,8764
305,93,235,8999
208,59,156,9155
136,35,107,9262
90,17,63,9325
64,15,41,9366
49,16,31,9397
33,5,21,9418
19,6,20,9438
12,2,9,9447
5,0,7,9454
4,1,2,9456
2,0,2,9458
1,0,1,9459
0,0,1,9460
