Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,0
126,125,0,0
650,583,59,59
2381,2064,333,392
4755,3596,1222,1614
5752,3417,2420,4034
4871,1968,2849,6883
3242,803,2432,9315
1905,315,1652,10967
1088,130,947,11914
583,36,541,12455
314,17,286,12741
168,8,154,12895
83,5,90,12985
49,1,35,13020
29,3,23,13043
12,0,17,13060
7,0,5,13065
2,0,5,13070
1,0,1,13071
0,0,1,13072
