Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
37,37,1,1425
1544,1526,19,1444
11937,11197,804,2248
5986,51,6002,8250
2992,0,2994,11244
1511,0,1481,12725
763,0,748,13473
399,0,364,13837
189,0,210,14047
104,0,85,14132
42,0,62,14194
20,0,22,14216
8,0,12,14228
5,0,3,14231
2,0,3,14234
1,0,1,14235
1,0,0,14235
0,0,1,14236
