Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
60,59,0,1424
2753,2718,25,1449
12850,11458,1361,2810
6400,0,6450,9260
3143,0,3257,12517
1534,0,1609,14126
759,0,775,14901
359,0,400,15301
170,0,189,15490
82,0,88,15578
39,0,43,15621
18,0,21,15642
7,0,11,15653
4,0,3,15656
0,0,4,15660
