Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,0
20,20,1,1
82,68,6,7
684,635,33,40
3871,3530,343,383
10655,8749,1965,2348
6481,1238,5412,7760
3285,0,3196,10956
1597,0,1688,12644
796,0,801,13445
384,0,412,13857
200,0,184,14041
114,0,86,14127
51,0,63,14190
22,0,29,14219
9,0,13,14232
5,0,4,14236
4,0,1,14237
3,0,1,14238
2,0,1,14239
2,0,0,14239
1,0,1,14240
0,0,1,14241
